,hotel_name,hotel_type,hotel_address,hotel_area,hotel_lat,hotel_lon,hotel_price($)
139,APA Hotel Asakusa-Ekimae,Hotel,"1-12-16, Komagata, Taito-ku, Tokyo, Tokyo, 111-0043, Japan",Komagata,35.708177,139.795433,38
140,Sotetsu Fresa Inn Shimbashi-Hibiyaguchi,Hotel,"1-14-3 Shinbashi Minato-ku, Tokyo, Tokyo-to, 105-0004, Japan",Minato,35.668296,139.757518,57
141,Hotel Wing International Shimbashi Onarimon,Hotel,"6-20-8 Shimbashi, Minato-ku, Tokyo, Tokyo, 105-0004, Japan",Shinbashi,35.660799,139.754305,39
142,Mitsui Garden Hotel Ginza Premier,Hotel,"8-13-1 Ginza, Chuo-ku, Tokyo, Tokyo-to, 104-0061, Japan",Ginza,35.66692,139.76339,145
143,APA HOTEL PRIDE <KOKKAIGIJIDOMAE> National Diet Bldg.,Hotel,"2-10-2 Nagatacho, Tokyo, Tokyo, 100-0014, Japan",Nagatacho,35.674715,139.740869,38
144,Hotel LiVEMAX Tokyo Kanda-Ekimae,Hotel,"2-4-3 Kajicho, Chiyoda, Tokyo, Tokyo, 101-0044, Japan",Kanda,35.694,139.772,28
145,HOTEL LiVEMAX AKIHABARAKITA,Hotel,"2-5-2 Taito, Taito-ku, Tokyo, Tokyo, 110-0016, Japan",Taito,35.703667,139.780554,25
146,Hotel Villa Fontaine Tokyo-Ueno Okachimachi,Hotel,"2-4-4 Kojima, Taito-ku, Tokyo, Tokyo-to, 111-0056, Japan",Taito,35.705334,139.781662,59
147,APA Hotel Shibuya-Dogenzaka-Ue,Hotel,"20-1 Maruyamacho Shibuya-ku, Tokyo, Tokyo-to, 150-0044, Japan",Shibuya,35.656309,139.695193,54
148,HostelMUSTARD HOTEL SHIBUYA - Hostel,Hostel,"1-29-3, Higashi, Tokyo, Tokyo, 1500011, Japan",Higashi,35.65349,139.7071,34
149,La'gent Hotel Shinjuku Kabukicho,Hotel,"2-40-5 Kabukicho, Shinjuku, Tokyo, Tokyo, 160-0021, Japan",Shinjuku,35.697533,139.701902,69
150,THE BLOSSOM HIBIYA,Hotel,"1-1-13 Shinbashi, Minato-ku, Tokyo, Tokyo, 105-0004, Japan",Minato,35.668916,139.756218,121
151,Mitsui Garden Hotel Roppongi Tokyo Premier,Hotel,"3-15-17 Roppongi, Minato, Tokyo, Tokyo, 106-0032, Japan",Roppongi,35.662075,139.736111,110
152,Hotel MyStays Asakusa,Hotel,"1-21-11 Honjo, Sumida-ku, Tokyo, Tokyo-to, 130-0004, Japan",Sumida,35.703637,139.797454,35
